,代码,名称
537,000925,众合科技
538,300053,欧比特
539,300493,润欣科技
540,300801,泰和科技
541,300913,兆龙互连
542,688226,威腾电气
543,600588,用友网络
544,300499,高澜股份
545,600497,驰宏锌锗
546,603867,新化股份
547,600810,神马股份
548,003008,开普检测
549,600213,亚星客车
550,600691,阳煤化工
551,603386,广东骏亚
552,000155,川能动力
553,000935,四川双马
554,688330,宏力达
555,002131,利欧股份
556,000528,柳    工
557,603005,晶方科技
558,600075,新疆天业
559,688360,德马科技
560,002735,王子新材
561,300223,北京君正
562,300831,派瑞股份
563,600021,上海电力
564,688178,万德斯
565,688256,寒武纪-U
566,300829,金丹科技
567,605058,澳弘电子
568,601666,平煤股份
569,300732,设研院
570,002594,比亚迪
571,688219,会通股份
572,605116,奥锐特
573,000912,泸天化
574,601233,桐昆股份
575,600152,维科技术
576,000680,山推股份
577,300540,深冷股份
578,603290,斯达半导
579,300057,万顺新材
580,300067,安诺其
581,300641,正丹股份
582,600409,三友化工
583,300716,国立科技
584,603017,中衡设计
585,603926,铁流股份
586,002056,横店东磁
587,000993,闽东电力
588,300296,利亚德
589,300416,苏试试验
590,003017,大洋生物
591,300127,银河磁体
592,300033,同花顺
593,300940,南极光
594,600166,福田汽车
595,603986,兆易创新
596,603933,睿能科技
597,300100,双林股份
598,300200,高盟新材
599,000700,模塑科技
600,002147,*ST新光
601,300061,旗天科技
602,003028,振邦智能
603,001207,联科科技
604,600318,新力金融
605,600785,新华百货
606,688590,新致软件
607,300973,立高食品
608,000548,湖南投资
609,002648,卫星石化
610,300182,捷成股份
611,603693,江苏新能
612,603890,春秋电子
613,601866,中远海发
614,002410,广联达
615,002401,中远海科
616,002753,永东股份
617,300543,朗科智能
618,002402,和而泰
619,002222,福晶科技
620,002687,乔治白
621,300233,金城医药
622,002520,日发精机
623,600515,*ST基础
624,002135,东南网架
625,603500,祥和实业
626,300626,华瑞股份
627,002318,久立特材
628,688286,敏芯股份
629,600919,江苏银行
630,002160,常铝股份
631,000920,南方汇通
632,603978,深圳新星
633,002199,东晶电子
634,300242,佳云科技
635,600126,杭钢股份
636,300111,向日葵
637,601969,海南矿业
638,002983,芯瑞达
639,300842,帝科股份
640,000546,金圆股份
641,300717,华信新材
642,000951,中国重汽
643,300125,聆达股份
644,002255,海陆重工
645,002226,江南化工
646,601877,正泰电器
647,002837,英维克
648,002584,西陇科学
649,688395,正弦电气
650,300340,科恒股份
651,002554,惠博普
652,300927,江天化学
653,600006,东风汽车
654,300678,中科信息
655,603279,景津环保
656,002338,奥普光电
657,002051,中工国际
658,688315,诺禾致源
659,688123,聚辰股份
660,600720,祁连山
661,603383,顶点软件
662,600889,南京化纤
663,688160,步科股份
664,600844,丹化科技
665,603158,腾龙股份
666,300647,超频三
667,002522,浙江众成
668,300189,神农科技
669,600787,中储股份
670,688011,新光光电
671,600490,鹏欣资源
672,002492,恒基达鑫
673,688055,龙腾光电
674,688499,利元亨
675,300302,同有科技
676,300306,远方信息
677,300011,鼎汉技术
678,300751,迈为股份
679,300547,川环科技
680,300390,天华超净
681,300625,三雄极光
682,600997,开滦股份
683,600888,新疆众和
684,300933,中辰股份
685,600727,鲁北化工
686,603181,皇马科技
687,600185,格力地产
688,600678,四川金顶
689,300632,光莆股份
690,603977,国泰集团
691,600759,洲际油气
692,300056,中创环保
693,300059,东方财富
694,000731,四川美丰
695,600722,金牛化工
696,600234,山水文化
697,002757,南兴股份
698,300287,飞利信
699,002576,通达动力
700,600429,三元股份
701,603010,万盛股份
702,688357,建龙微纳
703,600851,海欣股份
704,300066,三川智慧
705,600582,天地科技
706,688777,中控技术
707,000961,中南建设
708,300768,迪普科技
709,300389,艾比森
710,300088,长信科技
711,603380,易德龙
712,300881,盛德鑫泰
713,300435,中泰股份
714,600618,氯碱化工
715,300870,欧陆通
716,300093,金刚玻璃
717,600971,恒源煤电
718,600509,天富能源
719,603988,中电电机
720,601216,君正集团
721,603389,亚振家居
722,603002,宏昌电子
723,601106,中国一重
724,000090,天健集团
725,601212,白银有色
726,002184,海得控制
727,601238,广汽集团
728,002996,顺博合金
729,600111,北方稀土
730,301007,德迈仕
731,002738,中矿资源
732,002108,沧州明珠
733,300401,花园生物
734,601878,浙商证券
735,600308,华泰股份
736,300232,洲明科技
737,002297,博云新材
738,603358,华达科技
739,300542,新晨科技
740,603015,弘讯科技
741,300564,筑博设计
742,300334,津膜科技
743,688626,翔宇医疗
744,600117,西宁特钢
745,300611,美力科技
746,600449,宁夏建材
747,600766,*ST园城
748,000786,北新建材
749,002363,隆基机械
750,300422,博世科
751,600623,华谊集团
752,600666,ST瑞德
753,300459,金科文化
754,300063,天龙集团
755,002218,拓日新能
756,300263,隆华科技
757,688680,海优新材
758,300121,阳谷华泰
759,002517,恺英网络
760,300412,迦南科技
761,002454,松芝股份
762,002632,道明光学
763,300176,派生科技
764,002986,宇新股份
765,600866,星湖科技
766,002809,红墙股份
767,002360,同德化工
768,300605,恒锋信息
769,002931,锋龙股份
770,601609,金田铜业
771,603637,镇海股份
772,600793,宜宾纸业
773,002055,得润电子
774,300638,广和通
775,688585,上纬新材
776,603879,永悦科技
777,600232,金鹰股份
778,002913,奥士康
779,688628,优利德
780,002859,洁美科技
781,688314,康拓医疗
782,000010,美丽生态
783,300243,瑞丰高材
784,300074,华平股份
785,601390,中国中铁
786,000065,北方国际
787,300724,捷佳伟创
788,603566,普莱柯
789,002876,三利谱
790,300705,九典制药
791,002686,亿利达
792,300502,新易盛
793,600466,蓝光发展
794,600123,兰花科创
795,002217,合力泰
796,601016,节能风电
797,688667,菱电电控
798,000636,风华高科
799,300157,恒泰艾普
800,600992,贵绳股份
801,002315,焦点科技
802,600206,有研新材
803,605305,中际联合
804,000060,中金岭南
805,688312,燕麦科技
806,603929,亚翔集成
807,002406,远东传动
808,000420,吉林化纤
809,688015,交控科技
810,600695,*ST绿庭
811,300052,中青宝
812,000691,亚太实业
813,300225,金力泰
814,603833,欧派家居
815,300975,商络电子
816,688313,仕佳光子
817,000735,罗 牛 山
818,688608,恒玄科技
819,600458,时代新材
820,300838,浙江力诺
821,300951,博硕科技
822,300042,朗科科技
823,601218,吉鑫科技
824,600425,青松建化
825,002903,宇环数控
826,300684,中石科技
827,000507,珠海港
828,300477,合纵科技
829,300652,雷迪克
830,002027,分众传媒
831,300283,温州宏丰
832,000401,冀东水泥
833,601865,福莱特
834,002117,东港股份
835,002289,宇顺电子
836,300324,旋极信息
837,600875,东方电气
838,002896,中大力德
839,603937,丽岛新材
840,002546,新联电子
841,000673,*ST当代
842,000045,深纺织Ａ
843,000006,深振业Ａ
844,300518,盛讯达
845,002064,华峰化学
846,600325,华发股份
847,601899,紫金矿业
848,688669,聚石化学
849,688369,致远互联
850,002313,日海智能
851,688550,瑞联新材
852,300481,濮阳惠成
853,300096,易联众
854,601375,中原证券
855,688156,路德环境
856,300022,吉峰科技
857,000848,承德露露
858,000002,万  科Ａ
859,000878,云南铜业
860,688323,瑞华泰
861,300598,诚迈科技
862,000720,新能泰山
863,600761,安徽合力
864,600257,大湖股份
865,300308,中际旭创
866,300360,炬华科技
867,002963,豪尔赛
868,603809,豪能股份
869,300351,永贵电器
870,603159,上海亚虹
871,000828,东莞控股
872,300808,久量股份
873,300219,鸿利智汇
874,002469,三维化学
875,000928,中钢国际
876,002768,国恩股份
877,600184,光电股份
878,002609,捷顺科技
879,600169,太原重工
880,605007,五洲特纸
881,002887,绿茵生态
882,002002,鸿达兴业
883,688377,迪威尔
884,603662,柯力传感
885,300185,通裕重工
886,300039,上海凯宝
887,002474,榕基软件
888,000823,超声电子
889,300692,中环环保
890,601155,新城控股
891,300779,惠城环保
892,688597,煜邦电力
893,300457,赢合科技
894,601669,中国电建
895,003025,思进智能
896,300753,爱朋医疗
897,300597,吉大通信
898,300095,华伍股份
899,603093,南华期货
900,300349,金卡智能
901,688555,泽达易盛
902,600847,万里股份
903,600103,青山纸业
904,300084,海默科技
905,000966,长源电力
906,600463,空港股份
907,603897,长城科技
908,600507,方大特钢
909,002060,粤 水 电
910,688180,君实生物-U
911,002673,西部证券
912,002138,顺络电子
913,300411,金盾股份
914,603806,福斯特
915,603068,博通集成
916,600408,ST安泰
917,600963,岳阳林纸
918,000567,海德股份
